Obec;Okres;Kraj
Soltyska;Okres Poltar;Banskobystricky kraj
Somotor;Okres Trebisov;Kosicky kraj
Sopkovce;Okres Humenne;Presovsky kraj
Soporna;Okres Galanta;Trnavsky kraj
Spacince;Okres Trnava;Trnavsky kraj
Spania Dolina;Okres Banska Bystrica;Banskobystricky kraj
Spanie Pole;Okres Rimavska Sobota;Banskobystricky kraj
Spisska Bela;Okres Kezmarok;Presovsky kraj
Spisska Nova Ves;Okres Spisska Nova Ves;Kosicky kraj
Spisska Stara Ves;Okres Kezmarok;Presovsky kraj
Spisska Teplica;Okres Poprad;Presovsky kraj
Spisske Bystre;Okres Poprad;Presovsky kraj
Spisske Hanusovce;Okres Kezmarok;Presovsky kraj
Spisske Podhradie;Okres Levoca;Presovsky kraj
Spisske Tomasovce;Okres Spisska Nova Ves;Kosicky kraj
Spisske Vlachy;Okres Spisska Nova Ves;Kosicky kraj
Spissky Hrhov;Okres Levoca;Presovsky kraj
Spissky Hrusov;Okres Spisska Nova Ves;Kosicky kraj
Spissky Stiavnik;Okres Poprad;Presovsky kraj
Spissky Stvrtok;Okres Levoca;Presovsky kraj
Srobarova;Okres Komarno;Nitriansky kraj
Stakcin;Okres Snina;Presovsky kraj
Stakcinska Roztoka;Okres Snina;Presovsky kraj
Stanca;Okres Trebisov;Kosicky kraj
Stankovany;Okres Ruzomberok;Zilinsky kraj
Stankovce;Okres Trebisov;Kosicky kraj
Stara Basta;Okres Rimavska Sobota;Banskobystricky kraj
Stara Bystrica;Okres Cadca;Zilinsky kraj
Stara Halic;Okres Lucenec;Banskobystricky kraj
Stara Huta;Okres Detva;Banskobystricky kraj
Stara Kremnicka;Okres Ziar nad Hronom;Banskobystricky kraj
Stara Lehota;Okres Nove Mesto nad Vahom;Trenciansky kraj
Stara Lesna;Okres Kezmarok;Presovsky kraj
Stara Lubovna;Okres Stara Lubovna;Presovsky kraj
Stara Myjava;Okres Myjava;Trenciansky kraj
Stara Tura;Okres Nove Mesto nad Vahom;Trenciansky kraj
Stara Voda;Okres Gelnica;Kosicky kraj
Stare;Okres Michalovce;Kosicky kraj
Stare Hory;Okres Banska Bystrica;Banskobystricky kraj
Starina;Okres Stara Lubovna;Presovsky kraj
Stary Hradok;Okres Levice;Nitriansky kraj
Stary Tekov;Okres Levice;Nitriansky kraj
Staskov;Okres Cadca;Zilinsky kraj
Staskovce;Okres Stropkov;Presovsky kraj
Stebnicka Huta;Okres Bardejov;Presovsky kraj
Stebnik;Okres Bardejov;Presovsky kraj
Stefanov;Okres Senica;Trnavsky kraj
Stefanov nad Oravou;Okres Tvrdosin;Zilinsky kraj
Stefanova;Okres Pezinok;Bratislavsky kraj
Stefanovce, okres Presov;Okres Presov;Presovsky kraj
Stefanovce, okres Vranov nad Toplou;Okres Vranov nad Toplou;Presovsky kraj
Stefanovicova;Okres Nitra;Nitriansky kraj
Stefurov;Okres Svidnik;Presovsky kraj
Sterusy;Okres Piestany;Trnavsky kraj
Stiavnicka;Okres Ruzomberok;Zilinsky kraj
Stiavnicke Bane;Okres Banska Stiavnica;Banskobystricky kraj
Stiavnik;Okres Bytca;Zilinsky kraj
Stitare;Okres Nitra;Nitriansky kraj
Stitnik;Okres Roznava;Kosicky kraj
Stola;Okres Poprad;Presovsky kraj
Stos;Okres Kosice - okolie;Kosicky kraj
Stozok;Okres Detva;Banskobystricky kraj
Stranany;Okres Stara Lubovna;Presovsky kraj
Stranavy;Okres Zilina;Zilinsky kraj
Strane pod Tatrami;Okres Kezmarok;Presovsky kraj
Stranska;Okres Rimavska Sobota;Banskobystricky kraj
Stranske;Okres Zilina;Zilinsky kraj
Stratena;Okres Roznava;Kosicky kraj
Straza;Okres Zilina;Zilinsky kraj
Strazne;Okres Trebisov;Kosicky kraj
Strazske;Okres Michalovce;Kosicky kraj
Strba;Okres Poprad;Presovsky kraj
Strecno;Okres Zilina;Zilinsky kraj
Streda nad Bodrogom;Okres Trebisov;Kosicky kraj
Stredne Plachtince;Okres Velky Krtis;Banskobystricky kraj
Strekov;Okres Nove Zamky;Nitriansky kraj
Strelniky;Okres Banska Bystrica;Banskobystricky kraj
Stretava;Okres Michalovce;Kosicky kraj
Stretavka;Okres Michalovce;Kosicky kraj
Strezenice;Okres Puchov;Trenciansky kraj
Strihovce;Okres Snina;Presovsky kraj
Strkovec;Okres Rimavska Sobota;Banskobystricky kraj
Strocin;Okres Svidnik;Presovsky kraj
Stropkov;Okres Stropkov;Presovsky kraj
Studena;Okres Rimavska Sobota;Banskobystricky kraj
Studenec;Okres Levoca;Presovsky kraj
Studienka;Okres Malacky;Bratislavsky kraj
Stulany;Okres Bardejov;Presovsky kraj
Stupava;Okres Malacky;Bratislavsky kraj
Stupne;Okres Povazska Bystrica;Trenciansky kraj
Sturovo;Okres Nove Zamky;Nitriansky kraj
Stvrtok;Okres Trencin;Trenciansky kraj
Stvrtok na Ostrove;Okres Dunajska Streda;Trnavsky kraj
Sucany;Okres Martin;Zilinsky kraj
Sudince;Okres Krupina;Banskobystricky kraj
Sudovce;Okres Krupina;Banskobystricky kraj
Sucha Dolina;Okres Presov;Presovsky kraj
Sucha Hora;Okres Tvrdosin;Zilinsky kraj
Sucha nad Parnou;Okres Trnava;Trnavsky kraj
Suchan;Okres Velky Krtis;Banskobystricky kraj
Suche;Okres Michalovce;Kosicky kraj
Suche Brezovo;Okres Velky Krtis;Banskobystricky kraj
Suchohrad;Okres Malacky;Bratislavsky kraj
Suja;Okres Zilina;Zilinsky kraj
Sukov;Okres Medzilaborce;Presovsky kraj
Sula;Okres Velky Krtis;Banskobystricky kraj
Sulin;Okres Stara Lubovna;Presovsky kraj
Sulovce;Okres Topolcany;Nitriansky kraj
Sulov-Hradna;Okres Bytca;Zilinsky kraj
Sumiac;Okres Brezno;Banskobystricky kraj
Sunava;Okres Poprad;Presovsky kraj
Surany;Okres Nove Zamky;Nitriansky kraj
Surianky;Okres Nitra;Nitriansky kraj
Surice;Okres Lucenec;Banskobystricky kraj
Surovce;Okres Trnava;Trnavsky kraj
Susany;Okres Poltar;Banskobystricky kraj
Sutor;Okres Rimavska Sobota;Banskobystricky kraj
Sutovce;Okres Prievidza;Trenciansky kraj
Sutovo;Okres Martin;Zilinsky kraj
Svabovce;Okres Poprad;Presovsky kraj
Svata Maria;Okres Trebisov;Kosicky kraj
Svatoplukovo;Okres Nitra;Nitriansky kraj
Svatus;Okres Sobrance;Kosicky kraj
Svatuse;Okres Trebisov;Kosicky kraj
Svaty Anton;Okres Banska Stiavnica;Banskobystricky kraj
Svaty Jur;Okres Pezinok;Bratislavsky kraj
Svaty Kriz;Okres Liptovsky Mikulas;Zilinsky kraj
Svaty Peter;Okres Komarno;Nitriansky kraj
Svedernik;Okres Zilina;Zilinsky kraj
Svedlar;Okres Gelnica;Kosicky kraj
Sverepec;Okres Povazska Bystrica;Trenciansky kraj
Sverzov;Okres Bardejov;Presovsky kraj
Svetlice;Okres Medzilaborce;Presovsky kraj
Svidnicka;Okres Svidnik;Presovsky kraj
Svidnik;Okres Svidnik;Presovsky kraj
Svinia;Okres Presov;Presovsky kraj
Svinica;Okres Kosice - okolie;Kosicky kraj
Svinice;Okres Trebisov;Kosicky kraj
Svinna;Okres Trencin;Trenciansky kraj
Svit;Okres Poprad;Presovsky kraj
Svodin;Okres Nove Zamky;Nitriansky kraj
Svosov;Okres Ruzomberok;Zilinsky kraj
Svrbice;Okres Topolcany;Nitriansky kraj
